product_1_id,product_1_name,product_2_id,product_2_name,similarity,name_similarity,brand_similarity,size_similarity
PRDbb09309a,Folk Soap Shampoo Bar,PRD94df6e4e,Shampoo Bar,75.9,100.0,45.45454545454546,50
PRDbb255664,Bain & Savon Natural Conditioner Bar Brittle Heat Damaged Hair,PRDa43053ee,Bain & Savon Natural Conditioner Bar,95.0,100.0,100.0,50
PRDbb356a4b,A Little Something Fine Florals Body Butter Trio,PRD8be27dc1,Signature Body Butter,63.9,66.66666666666667,63.63636363636363,50
PRDbb642fb8,Shampoo Bar – Calendula – Fine Hair - Full Size,PRD94df6e4e,Shampoo Bar,95.0,100.0,100.0,50
PRDbb6a0428,Natural Usmanthus Orchid Shampoo Bar For Hair Loss & Dandruff,PRD94df6e4e,Shampoo Bar,72.7,100.0,36.36363636363637,50
PRDbc45741b,Davines DEDE Shampoo Bar,PRD0590e833,Davines Love Shampoo Bar,88.1,87.5,100.0,50
PRDbc4d2676,Castor Oil Shampoo Bar,PRD94df6e4e,Shampoo Bar,79.1,100.0,54.54545454545454,50
PRDbc54c598,Tatcha The Dewy Serum,PRD80869a1b,Emma Lewisham Skin Reset Face Serum,60.6,60.60606060606061,63.63636363636363,50
PRDbc61d368,Way of Life Body Butter,PRDb3c00755,The White Company Seychelles Body Butter,67.8,73.6842105263158,63.63636363636363,50
PRDbc98515a,AA Laab Concentrated Face Serum,PRD8363fb23,Vata Face Serum,68.6,86.66666666666667,45.45454545454546,50
PRDbca4b95b,Cell Rejuvenating Power Serum,PRDfbf3d64f,Chamomile & Bergamot Rejuvenating Facial Serum,60.9,72.72727272727273,45.45454545454546,50
PRDbd34f142,ROWSE Universal Shampoo Bar,PRD94df6e4e,Shampoo Bar,72.7,100.0,36.36363636363637,50
PRDbdaf38ab,grüum Hår Zero Plastic Shampoo Bar,PRD201ab1cd,grüum Twin Pack Volumising Shampoo Bar Solid Shampoo Bars for Hair Up to 60 Washes,79.0,61.76470588235294,100.0,100
PRDbe020275,Argan Solid Shampoo Bar Sage & Juniper,PRD94df6e4e,Shampoo Bar,75.9,100.0,45.45454545454546,50
PRDbe4a00e2,Ethique Heali Kiwi Solid Shampoo Bar,PRD94df6e4e,Shampoo Bar,79.1,100.0,54.54545454545454,50
PRDbe8a298a,Moisture Professional Conditioner Bar grüum Dry & Heat Damaged,PRD4c4baf48,Mint Conditioner Bar,74.0,85.0,63.63636363636363,50
PRDbe97e872,Foamie Conditioner Bar Hibiskiss,PRD5315495b,Foamie Conditioner Bar Aloe You Vera Much,86.0,83.63636363636364,100.0,50
PRDbec37e07,Natural Vegan Shampoo Bar,PRD94df6e4e,Shampoo Bar,75.9,100.0,45.45454545454546,50
PRDbf7d8f07,"Nature Triangle Shampoo Bar, Usman Grass Shampoo Bar, Nature Seven Green Soap Shampoos Bars, Nourishing Care for Healthy-Looking Hair ()",PRD4d74acf3,"Nature Triangle Shampoo Bar,Natural Plant-Based Solid Shampoo,Nature Green Soap Shampoo,Cleansing & Nourishing Care for Healthy-Looking Hair ()",87.9,80.76923076923077,100.0,85
PRDbfb66f63,"Nature Triangle Shampoo Bar, Natural Usman Grass Glutinous Rice Water Solid Shampoo Bar,Thinning Hair-Volume Shampoo Bar for Men and Women,Hair Growth",PRD9f09222c,Nature Triangle Usman Grass Shampoo Bar,85.0,81.81818181818181,100.0,50
PRDc04de7e2,Treaclemoon Brazilian Love Body Butter,PRDfa6f41b0,Cocoa Body Butter,69.6,82.75862068965517,54.54545454545454,50
PRDc0f51385,Eco Warrior Men's Edit Shampoo Bar,PRD17d42fdf,Eco Warrior Nourishing Shampoo Bar,83.7,79.41176470588236,100.0,50
PRDc18dacd6,Ethique Wonderbar Conditioner Bar For Oily to Normal Hair,PRDff2e9b24,Ethique Wonderbar Conditioner Bar for Oily-Normal Hair-Mini,93.5,97.2972972972973,100.0,50
PRDc1a81682,Cocoa Butter & Shea Butter Moisturizing Cream for Face & Body,PRDfa6f41b0,Cocoa Body Butter,69.6,82.75862068965517,54.54545454545454,50
PRDc1aa7d48,"Grace Cole Grapefruit, Lime & Mint Body Butter",PRD936bfd10,Grace Cole Body Butter Grapefruit,82.8,77.77777777777779,100.0,50
PRDc1cfd765,"Liquid Solution,Boto-x Face Serum,Boto-x Stock Solution Facial Serum for Anti Aging,Hydrating Liquid Facial,Smooth FIne Lines & Anti Wrinkle,Essence",PRD8363fb23,Vata Face Serum,61.7,80.0,36.36363636363637,50
PRDc1fc924c,"Natural Cinnamon Shampoo Bar for Hair Growth, Moisturizing Hair Shampoo Soap for Damaged Frizzy Hair, Strengthening Solid Shampoo Bar for Men",PRD4ebccb85,Natural Triangle Usman Grass Shampoo Bar,82.3,70.58823529411764,100.0,85
PRDc2643e4f,Faith in Nature Shea & Argan Shampoo Bar,PRDe42b3890,Faith in Nature - Shampoo Bar Lavender & Geranium,85.7,83.07692307692307,100.0,50
PRDc26d29e5,Soapy Scraps Shampoo Bar - Lavender & Tea Tree | Friendly Soap,PRDf83acaff,Friendly Soap Shampoo Bar - Lav & Tea Tree,83.4,78.94736842105263,100.0,50
PRDc2dd4e78,W7 Skin Quench Brightening Face Serum,PRD8363fb23,Vata Face Serum,64.3,84.61538461538461,36.36363636363637,50
PRDc32dd309,The Ordinary Hyaluronic Acid 2% + B5,PRD1a37a082,The Ordinary Marine Hyaluronics,86.9,85.18518518518519,100.0,50
PRDc34acd14,Ac+R Youthful Glow Serum Concentrate,PRD5b8bc887,Perricone MD Cold Plasma Plus+ Advanced Serum Concentrate,64.6,67.79661016949152,63.63636363636363,50
PRDc3647fd8,CONDITIONER BAR LAVENDER - PURC CONDITIONER BAR LAVENDER CRUELTY FREE VEGAN CONDITIONER BAR,PRDb007f6f2,CONDITIONER BAR SEAWEED - PURC CONDITIONER BAR SEAWEED VEGAN CONDITIONER,82.6,77.41935483870968,100.0,50
PRDc38741ae,Organic Refined Pumpkin Butter,PRDad74e0eb,Mango Butter,64.9,80.0,45.45454545454546,50
PRDc39c546e,Eco Warrior Dry Hair Shampoo Bar,PRD17d42fdf,Eco Warrior Nourishing Shampoo Bar,83.0,78.125,100.0,50
PRDc3be8ff7,grüum Youth Restoring Skin Gel Serum Face Glow Anti aging Vitamin C Serum for Women with Hyaluronic Acid,PRD1cf0d660,"Japan Skincare Serum Ampoule, Che rry Blo ssom renewal Serum for Face, Anti Aging Face Serum with Hyaluronic Acid & Niacinamide, Plumping",81.0,65.38461538461539,100.0,100
PRDc3c3e186,Aussie Nourishing Hug Shampoo Bar,PRD94df6e4e,Shampoo Bar,79.1,100.0,54.54545454545454,50
PRDc3d06dd4,Kitsch Rosemary & Biotin Solid Conditioner,PRDc6b2dce0,Kitsch Rice Water Protein Conditioner Bar,80.0,72.72727272727273,100.0,50
PRDc3edf337,Hair Conditioner Bar by Superfly Soap Banana Fragrance. Natural,PRDfcb66de9,Hair Conditioner Bar- - Patchouli & Sandalwood - SUMA,76.7,66.66666666666667,100.0,50
PRDc40d85f0,Faith In Nature Shampoo Bar Lavender & Geranium 85gm,PRDe42b3890,Faith in Nature - Shampoo Bar Lavender & Geranium,100.0,100.0,100.0,100
PRDc42260e7,La Roche Posay Pure Anti-Wrinkle Serum,PRDadd6c147,La Roche Posay Hydraphase Intense Serum,79.1,71.05263157894737,100.0,50
PRDc4417776,Africa's Best Originals Cocoa Butter & Shea Butter Moisturizing Body Lotion,PRDc1a81682,Cocoa Butter & Shea Butter Moisturizing Cream for Face & Body,67.7,79.24528301886792,54.54545454545454,50
PRDc46fe397,Silky Sensation Le Ciel Body Butter,PRD8a0cae3f,Savage Body Butter,68.8,81.25,54.54545454545454,50
PRDc4702342,Kaurilan Sauna Camelina Shampoo Bar,PRDa362366f,Kaurilan Sauna Black Currant Shampoo Bar,79.3,71.42857142857143,100.0,50
PRDc487b36d,Posy London Conditioner Bars and Solid Conditioners,PRD22c33c78,Conditioner Bars,75.9,100.0,45.45454545454546,50
PRDc495723b,American Touch Cocoa Butter Body Cream,PRD7158cfb1,American Dream Cocoa Butter Body Cream,75.0,86.8421052631579,63.63636363636363,50
PRDc561cff4,Shampoo Bar with Rosemary – Solid Shampoo and Conditioner Bar for Men & Women – Deep Cleansing Hair Soap with Coconut Oil Extracts for Scalp Care,PRD94df6e4e,Shampoo Bar,95.0,100.0,100.0,50
PRDc5fa35a7,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,PRDe86336bb,Garnier Ultimate Blends Coconut Hydrating Shampoo Bar with Aloe Vera for Normal Hair,81.9,76.27118644067797,100.0,50
PRDc63a1bad,Scienea Super Berry Repair And Restore Face Serum,PRD8363fb23,Vata Face Serum,67.4,84.61538461538461,45.45454545454546,50
PRDc69720c2,Friendly Fragrance free conditioner bar,PRD22c33c78,Conditioner Bars,77.3,96.7741935483871,54.54545454545454,50
PRDc6b2dce0,Kitsch Rice Water Protein Conditioner Bar,PRD5b6320ff,Kitsch Shea Butter Hydrating Conditioner Bar,80.2,73.17073170731707,100.0,50
PRDc70837ea,The Ordinary Amino Acids + B5,PRDce9b3f2d,The Ordinary Niacinamide 10% + Zinc 1%,82.3,76.92307692307692,100.0,50
PRDc7327e1f,Apothecary Revive Daily Replenishing Serum,PRDd65f77fd,Niacinamide Serum,62.6,66.66666666666667,45.45454545454546,100
PRDc737a2ba,Rosemary & Lime Solid Conditioner Bar,PRD272cfb82,Lemon Solid Conditioner Bar,74.7,92.0,54.54545454545454,50
PRDc89a326e,Shampoo Bars Honing,PRD94df6e4e,Shampoo Bar,79.1,100.0,54.54545454545454,50
PRDc8d9fa08,Beauty of Joseon Essentials Duo,PRD1d5c7de4,Beauty of Joseon Glow Deep Serum,81.0,74.50980392156863,100.0,50
PRDc8e73bf0,Hairy Jayne Musk Conditioner Bar,PRDe4a75ca8,Hairy Jayne Solid Conditioner Bar,88.1,87.5,100.0,50
PRDc9b3c65a,Anihana Conditioner Bar Lavender & Lemon,PRD4c4baf48,Mint Conditioner Bar,74.3,85.0,54.54545454545454,85
PRDc9fd6391,"Citrus Shampoo Bar for Hair - Solid Shampoo Bar with Orange Extract & Coconut Oil - Refreshing, Volumising & Clarifying - For Oily, Normal & Fine Hair",PRD94df6e4e,Shampoo Bar,79.1,100.0,54.54545454545454,50
PRDca24878e,Citrus Conditioner Bar,PRD22c33c78,Conditioner Bars,74.1,96.7741935483871,45.45454545454546,50
PRDca2d45b1,Plantifique Face Serum,PRD8363fb23,Vata Face Serum,70.6,84.61538461538461,54.54545454545454,50
PRDca4b0565,alott - nourishing conditioner bar | Glow Organic,PRD2c4133ca,alott - nourishing conditioner bar,95.0,100.0,100.0,50
PRDca5f4122,Natural Hair Conditioning Bar – Lavender,PRDceb86729,Natural Hair Conditioning Bar – Lemongrass,90.3,91.42857142857143,100.0,50
PRDcae4678e,Sweet Orange Conditioner Bar,PRD4c4baf48,Mint Conditioner Bar,76.2,88.88888888888889,63.63636363636363,50
PRDcb0b8787,OnBuy.com Handmade Hair Shampoo Bar,PRD94df6e4e,Shampoo Bar,72.7,100.0,36.36363636363637,50
PRDcb7727bd,Conditioner Bar with Tea Tree and Rosemary,PRDd94aeaa8,Conditioner Bar for Thin Hair,81.8,76.0,100.0,50
PRDcbe1f570,e.l.f. Holy Hydration! Thirst Burst Drops,PRD193920ab,e.l.f. Hydrating Serum,79.3,71.42857142857143,100.0,50
PRDcbfb5f45,Alberto Balsam Sunkissed Raspberry Shampoo Bar,PRD94df6e4e,Shampoo Bar,72.7,100.0,36.36363636363637,50
PRDcc0c35a3,SkinCeuticals A.G.E. Interrupter Ultra Serum,PRDf81e5fe7,SkinCeuticals Serum 10,64.3,78.94736842105263,45.45454545454546,50
PRDcc1d2787,Anua Soothing Serum,PRD329858b7,Dr Althea Vitamin C Boosting Serum,69.3,76.47058823529412,63.63636363636363,50
PRDcc444ee2,Neutrogena Retinol Boost+ Intense Night Serum,PRDe74180c3,Brightening Serum,61.6,74.07407407407408,45.45454545454546,50
PRDcc53d2c7,Grapefruit Conditioner Bar,PRD22c33c78,Conditioner Bars,77.3,96.7741935483871,54.54545454545454,50
PRDcccd4cd9,M-61 Vitablast C Body Butter Radiance Boosting Moisturizer &,PRD8a0cae3f,Savage Body Butter,63.8,72.22222222222221,54.54545454545454,50
PRDccda25b5,Nineless A-Control 10% Azelaic Acid Serum,PRD262fb52b,Beautypie Niacinamide Serum,63.1,65.11627906976744,63.63636363636363,50
PRDccde7173,"Solid Shampoo For Dry Hair, 85",PRDb636b1e0,"Solid Shampoo For Oily Hair, 80",89.3,89.65517241379311,100.0,50
PRDccecf3d2,3 Dandruff Shampoo Bars Abyssinian Oil & Black Jamaican Castor Oil,PRD39a03679,ethique Shampoo Bar for Fine,71.4,57.14285714285714,100.0,50
PRDcd1840e0,Friendly Soap Conditioner Bar Fragrance Free,PRDa1991032,Friendly Soap Conditioner Bar - Fragrance-free,95.0,100.0,100.0,50
PRDcd653116,Face Serum Wakame,PRD8363fb23,Vata Face Serum,68.1,80.0,54.54545454545454,50
PRDcd662baf,The Ordinary GF 15% Solution,PRD9c4343cd,The Ordinary Multi-Peptide + HA Serum,79.1,71.11111111111111,100.0,50
PRDcdac9045,Earthy Sapo Reetha Shampoo Bar,PRD94df6e4e,Shampoo Bar,72.7,100.0,36.36363636363637,50
PRDcdd158d6,Friendly Soap Conditioner Bar Lavender & Geranium,PRD28257c33,Friendly Soap Conditioner Bar - Lavender & Tea Tree,90.7,92.13483146067416,100.0,50
PRDce3bdf79,Notice Hair Co. Detoxifier Conditioner Bar,PRD20a91ac1,Notice Hair Co. Stimulator Conditioner Bar,85.6,82.92682926829268,100.0,50
PRDce480ae0,Dalia Botanique Rose Geranium Conditioning Shampoo Bar,PRD94df6e4e,Shampoo Bar,79.1,100.0,54.54545454545454,50
PRDce843709,KDMD Unisex Wild Hare Solid Shampoo,PRD94df6e4e,Shampoo Bar,63.7,77.77777777777779,45.45454545454546,50
PRDce9b3f2d,The Ordinary Niacinamide 10% + Zinc 1%,PRDe4a46626,The Ordinary Niacinamide 10% + Zinc 1% Face Serum,95.0,100.0,100.0,50
PRDceb86729,Natural Hair Conditioning Bar – Lemongrass,PRD23f263da,Natural Hair Conditioning Bar – Bergamot,90.4,91.66666666666666,100.0,50
PRDcf0415b8,CMD Rio de Coco Bodybutter,PRDfa6f41b0,Cocoa Body Butter,75.7,93.75,54.54545454545454,50
PRDcf6f224f,Ethique Solid Conditioner Bar in The Buff - Unscented,PRD3ee5456d,Ethique Solid Conditioner Bar Kookabara,87.8,86.95652173913044,100.0,50
PRDcfdb3a78,REN Clean Skincare Evercalm Redness Relief Serum,PRD0ae0b659,Dr Rashel Face Serum,60.8,66.66666666666667,54.54545454545454,50
PRDd064c082,Gruum Glos Pro Professional Conditioner Bar For Scalp& Hair Conditions,PRD22c33c78,Conditioner Bars,75.7,93.75,54.54545454545454,50
PRDd11745ae,Neutrogena Hydro Boost Concentrated Serum,PRD9119da25,Neutrogena Hydro Boost Niacinamide Serum,85.4,82.5,100.0,50
PRDd1a85495,Bella Conditioner Bar,PRDdcd026cb,Solid Fragrance Free Plain Compostable Biodegradable Conditioner Bar,76.8,90.0,63.63636363636363,50
PRDd1c77b24,"Bee Venom Face Serum – Anti Ageing Face Serum for Wrinkles,Deeply Moisturize & Hydrate Skin with Hyaluronic Acid & Glycerin,Soothes & Firms for",PRDf06273d2,The Ilex Wood Frankincense and Bergamot Facial Serum,64.9,56.84210526315789,81.81818181818181,50
PRDd1ca1607,Balance Active Formula Niacinamide Blemish Recovery Serum,PRDe128499b,Balance Active Formula Brightening Serum,82.3,76.92307692307692,100.0,50
PRDd25ac352,Ayurveda Shampoo Bar,PRD94df6e4e,Shampoo Bar,75.9,100.0,45.45454545454546,50
PRDd28843d1,Vichy Liftactiv Retinol Specialist Serum,PRDf81e5fe7,SkinCeuticals Serum 10,58.8,63.1578947368421,54.54545454545454,50
PRDd339a2c5,VT PDRN Essence 100,PRDc1cfd765,"Liquid Solution,Boto-x Face Serum,Boto-x Stock Solution Facial Serum for Anti Aging,Hydrating Liquid Facial,Smooth FIne Lines & Anti Wrinkle,Essence",56.6,64.86486486486487,45.45454545454546,50
PRDd39ffea1,Bounty Hunter Dry Damaged Hair Shampoo Bar,PRD94df6e4e,Shampoo Bar,72.7,100.0,36.36363636363637,50
PRDd44093d8,Conditioner Bar for All Hair Types,PRDd94aeaa8,Conditioner Bar for Thin Hair,88.2,87.71929824561404,100.0,50
PRDd4987f16,Folk Soap Solid Conditioner Bar,PRDb5b5c690,Folk Soap Conditioner Bar,84.5,80.85106382978724,100.0,50
PRDd4a6232d,Soap & Glory The Righteous Butter Body Butter,PRDeff54c48,Soap and Glory The Righteous Body Butter,88.0,87.32394366197182,100.0,50
PRDd4ad1807,Scented Whipped Shea Body Butter,PRD5012adf7,BingoSpa Body Butter,70.6,78.78787878787878,63.63636363636363,50
PRDd593b7b2,Byoma Hydrating Serum,PRD4d3a52fb,Face Junkie Super Hydrating Serum,71.7,86.48648648648648,54.54545454545454,50
PRDd65f77fd,Niacinamide Serum,PRDd7b369b6,The INKEY List Niacinamide Serum,80.9,100.0,45.45454545454546,100
PRDd6bb95e7,Saje Tantra Sensuous Coconut Shea Body Butter Full Body Glow Aloe,PRD2a0760ad,Coconut Whipped Body Butter,68.9,81.4814814814815,54.54545454545454,50
PRDd7617b84,INSÌUM Moisture reveal 24H serum,PRD15097989,Dorothy Perkins Unisex Clear Face Serum,60.8,61.01694915254237,63.63636363636363,50
PRDd7a213c1,The Goldilocks Conditioner Bar,PRD22c33c78,Conditioner Bars,77.3,96.7741935483871,54.54545454545454,50
PRDd7b369b6,The INKEY List Niacinamide Serum,PRDd65f77fd,Niacinamide Serum,80.9,100.0,45.45454545454546,100
PRDd7fe01f3,Coffee & Ginger Invigorating Natural Soap Shampoo Bar,PRD94df6e4e,Shampoo Bar,79.1,100.0,54.54545454545454,50
PRDd804dba8,Ecostore Nourishing Conditioner Bar,PRD03dcabb3,Nourishing Conditioner Bar,79.1,100.0,54.54545454545454,50
PRDd84b494d,New Patchouli and Geranium Conditioner Bars,PRD22c33c78,Conditioner Bars,72.7,100.0,36.36363636363637,50
PRDd898e63b,Dermasens Organic Solid Shampoo Dry Hair,PRD94df6e4e,Shampoo Bar,69.1,81.81818181818181,54.54545454545454,50
PRDd8cac166,Superfly Soap Hair Conditioner Bar,PRD22ae5503,Superfly Soap Solid Hair Conditioner Bar,85.3,82.35294117647058,100.0,50
PRDd8d93ae9,"1-3x Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",PRDf2daad50,"2025 Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",99.2,98.54014598540147,100.0,100
PRDd940a2a5,Debenhams Butter Me Up Body Butter,PRD1fac0ce5,Lyonsleaf Body Butter,67.3,72.72727272727273,63.63636363636363,50
PRDd94aeaa8,Conditioner Bar for Thin Hair,PRD5cc056bd,Conditioner Bar for Hair Growth,89.8,90.56603773584906,100.0,50
PRDd94c09cf,Aussie Koality Moisture Vegan Solid Conditioner Bar,PRD22c33c78,Conditioner Bars,77.3,96.7741935483871,54.54545454545454,50
PRDd987acec,Sanctuary Spa Body Butter,PRD9f935292,Sanctuary Spa Golden Sandalwood Melting Body Butter,82.5,77.27272727272727,100.0,50
PRDda45072e,"Cacumen Biotae Isatis Indicotica Shampoo Bar, Usman Shampoo Grass Bar",PRDef469070,"Cacumen Biotae Isatis Indicotica Shampoo Bar, Usman Shampoo Bar Grass",93.3,96.96969696969697,100.0,50
PRDda91903c,StarBars Clarity Conditioner Bar,PRD22c33c78,Conditioner Bars,74.1,96.7741935483871,45.45454545454546,50
PRDdac71ca0,Bare and Bloom Luxury Whipped Vegan Body Butter,PRD7053c485,Whipped Mango Body Butter,72.5,88.0,54.54545454545454,50
PRDdb039b35,"Nature Triangle Shampoo Bar, Nature Green Triangle Solide Shampoo Soap, Cleansing Nourishing Hair Strengthens Hair, for Women And Men ()",PRD9f09222c,Nature Triangle Usman Grass Shampoo Bar,85.0,81.81818181818181,100.0,50
PRDdb0df171,Oyoma Beauty Whipped Shea Butter,PRD6d6aa7db,Whipped Body Butter,70.7,78.94736842105263,63.63636363636363,50
PRDdb639c8a,"Korean Skin Care 20% Vitamin C Serum,Vitamin C Moisturiser for Face,Vitamin C Brightening Serum,wrinkle serum,Anti-Aging Face Serum for Glowing Skin",PRD88222f1e,B. Brightening Serum,76.2,94.73684210526316,54.54545454545454,50
